port,jdate,P,Y,D,R,E,PE,vwret,n
B,1999-12-31,1277.9648497675644,0.012438966306113844,15.896561706656573,0.03696227781099798,47.23649180979901,27.05460970542389,0.06564223016598998,635.0
B,2000-01-31,1220.35981708505,0.013088676924413794,15.972895377362933,0.03731605260694466,45.53901113374709,26.79811850768739,-0.0463548228014663,634.0
B,2000-02-29,1212.0301454223845,0.013333112464855815,16.1601342397122,0.037580100644569334,45.54821484922522,26.609827617492265,-0.007678350755890128,634.0
B,2000-03-31,1338.2727668106397,0.012025392930918661,16.093255869645624,0.03779973853176833,50.58636066962835,26.455209449651676,0.09546669806829625,632.0
B,2000-04-30,1295.9528717243172,0.012399693916498998,16.069418939589422,0.03814764578533672,49.43755110502917,26.213937437376075,-0.03550407503176387,629.0
B,2000-05-31,1263.1699837735287,0.01278365606994712,16.147930630441476,0.03850520419315025,48.638618155858005,25.970515439517957,-0.026750100979756435,627.0
B,2000-06-30,1315.1583985184157,0.01249265094053971,16.429814804209784,0.03864735951573132,50.82739944767465,25.874988939230178,0.026406364049013125,621.0
B,2000-07-31,1301.095463568964,0.0104598850815166,13.609309029013932,0.038567219038508065,50.17963373347343,25.928755687609566,-0.01954899222880499,671.0
B,2000-08-31,1402.6815406422077,0.009778832932623773,13.716588443615471,0.03825119394793013,53.65424365828653,26.142974814361644,0.07563407797809191,674.0
B,2000-09-30,1339.6413611652927,0.010189729899306369,13.650583632213465,0.03776218862444099,50.58778976942666,26.481515940333118,-0.04863145239039265,679.0
B,2000-10-31,1319.6039524876994,0.010348687122329128,13.656168429684074,0.03756959400938987,49.576984748149066,26.617269267005316,-0.01763226445568137,679.0
B,2000-11-30,1193.1843856073308,0.01161013322397857,13.85302967767213,0.037744224137360165,45.035818887561476,26.494119904565085,-0.0952058983863139,680.0
B,2000-12-31,1208.5772849562206,0.01155527323622727,13.965440754766835,0.03728181444088818,45.057954075210255,26.822728855794836,0.008530629035271941,683.0
B,2001-01-31,1257.7001294121533,0.011308706268607097,14.222961337511174,0.03653720500600222,45.95284746440737,27.36936226609898,0.03260833684621124,681.0
B,2001-02-28,1134.714019418162,0.012516345538701361,14.202472754646402,0.03604989904646463,40.906325846632846,27.73932872075737,-0.09472153825120207,676.0
B,2001-03-31,1056.3285827460281,0.013523494974345776,14.285254280023707,0.0355539858182876,37.556691450404124,28.126241741527572,-0.06824946663356482,674.0
B,2001-04-30,1148.1077417378442,0.012548931831255961,14.407525786005431,0.03487899267941042,40.0448415192487,28.670552764854204,0.0799015268366602,667.0
B,2001-05-31,1152.8101198972986,0.012623448737980832,14.552439453149086,0.034164991286187586,39.38574770092007,29.26972793943857,0.006454590930392905,666.0
B,2001-06-30,1128.8194113585942,0.01234973836209085,13.940624388328041,0.03294835445550954,37.19274208170259,30.350529382288546,-0.021157599084835506,662.0
B,2001-07-31,1111.6463963648482,0.014235769329436045,15.825141674548812,0.032025170713603134,35.600665616746,31.225438544664375,-0.01329814161300723,591.0
B,2001-08-31,1043.4223066335564,0.01589380260162507,16.583948171766053,0.03146157251643576,32.82770656541831,31.784806670982274,-0.06438136185196225,588.0
B,2001-09-30,956.8720251626495,0.017349005036212187,16.60077758355736,0.029787560817153697,28.502883643765443,33.57106028715625,-0.08183110675272678,586.0
B,2001-10-31,983.7582575652561,0.016878822832453344,16.604681339406962,0.028085325565013697,27.629170940990818,35.60578273109694,0.01973045128158608,585.0
B,2001-11-30,1057.250251741318,0.0156530292146994,16.549169077755145,0.02603776188641524,27.528430309193006,38.40575869624697,0.07854923153854657,584.0
B,2001-12-31,1068.3920031828386,0.01563105528062314,16.700094463126646,0.023731786756483537,25.354851191867407,42.13757734557426,0.0097497989777897,582.0
B,2002-01-31,1054.9196628724355,0.01579354555274397,16.660921750061124,0.021576016274422762,22.760963814344244,46.34775888565896,-0.01217527203595651,578.0
B,2002-02-28,1031.3218238585157,0.016252839108903107,16.761907672672965,0.019200841918420548,19.80224730692452,52.08104958359344,-0.020904161117437595,576.0
B,2002-03-31,1073.1327935881495,0.015707027362228378,16.855726152193643,0.017186575678614886,18.44347797020614,58.18494729257159,0.03884110107824203,574.0
B,2002-04-30,1007.7474467696027,0.01677775224621795,16.907736988659103,0.015350163696432608,15.469088272575407,65.14588507172734,-0.06008994904351022,574.0
B,2002-05-31,998.0829988031442,0.017128542511930304,17.095707075434536,0.013498014978010078,13.472139267142055,74.08496742884955,-0.009419410565327864,571.0
B,2002-06-30,927.6675355377951,0.018462947717001053,17.127477207393525,0.012446146599937815,11.54588614330642,80.34615308203072,-0.07282039858278344,567.0
B,2002-07-31,860.617658027628,0.0197665038597384,17.01140225916213,0.011547567722310666,9.938040689090435,86.59832304494164,-0.07223518265582712,515.0
B,2002-08-31,863.0421756452794,0.01967116553791218,16.97704550331817,0.010567430335265422,9.120138067527394,94.63038489715134,0.006889932409946134,516.0
B,2002-09-30,771.5649188757448,0.022045436135446975,17.009485143426556,0.011487587436630921,8.863419468622162,87.05047996511962,-0.10541759713135099,517.0
B,2002-10-31,836.0709398157672,0.020373469779695924,17.033666026018505,0.012251372879195817,10.24301683714265,81.62350537041529,0.08673287448876006,517.0
B,2002-11-30,880.4738154786457,0.019592430319246235,17.250621877686232,0.012986192253089572,11.434002241617007,77.00486643897389,0.05481798083400375,517.0
B,2002-12-31,829.5713144260731,0.020933855853889835,17.366126316717335,0.015073383078510284,12.504446213287505,66.3421074613086,-0.05742013517947835,517.0
B,2003-01-31,807.2719530275227,0.02169221690335762,17.511518305070148,0.017214516669025622,13.896796491829159,58.09050693821206,-0.02753953452243342,517.0
B,2003-02-28,791.853711567797,0.02264810586305108,17.933986687637383,0.019362574710876438,15.33232665031627,51.64602409194451,-0.017678389112696744,517.0
B,2003-03-31,803.6346212747295,0.02240084770787144,18.002096763948156,0.021705703290570033,17.4434546434189,46.07084076535988,0.01168824424260122,515.0
B,2003-04-30,873.7533320492986,0.020593649413172727,17.993769793814753,0.02384535423476555,20.83495771652225,41.93689010256099,0.08084321647073225,513.0
B,2003-05-31,915.3533512021788,0.019728417455622132,18.05847303191928,0.025845423908689494,23.657695388059846,38.691568903375185,0.05449187025853946,513.0
B,2003-06-30,925.5476257293633,0.01956187768823045,18.105449449149898,0.02824745999124267,26.144369527779833,35.40141309377983,0.012529208055954697,513.0
B,2003-07-31,944.0118588165736,0.019417936310749635,18.330762151092603,0.030346457475378452,28.64741572983012,32.952775486606576,0.01814287367031381,526.0
B,2003-08-31,961.3736959519075,0.019364812579095503,18.616821440581035,0.032321360915279956,31.07290620131822,30.939291282355907,0.019099045031164223,525.0
B,2003-09-30,953.2816171102929,0.019860586274162283,18.93273180019191,0.03379975195061555,32.220682197409566,29.58601594062256,-0.011511058266540862,525.0
B,2003-10-31,1006.2716240898213,0.019129764501720235,19.249739193601833,0.0352353227712728,35.45630547037775,28.38061131130876,0.056754424444931055,525.0
